alpha,cl,cd
-8.0,-0.6736,0.01306
-7.75,-0.6392,0.01263
-7.5,-0.6041,0.01214
-7.25,-0.5675,0.01181
-7.0,-0.5358,0.01136
-6.75,-0.5036,0.01104
-6.5,-0.4704,0.01069
-6.25,-0.4378,0.01034
-6.0,-0.4115,0.01008
-5.75,-0.3826,0.00978
-5.5,-0.3549,0.0095
-5.25,-0.3281,0.00929
-5.0,-0.3008,0.00901
-4.75,-0.2745,0.00878
-4.5,-0.2474,0.00856
-4.25,-0.2207,0.00835
-4.0,-0.1937,0.00814
-3.75,-0.1667,0.00795
-3.5,-0.1396,0.00777
-3.25,-0.1125,0.00759
-3.0,-0.0854,0.00743
-2.75,-0.0582,0.00726
-2.5,-0.031,0.00712
-2.25,-0.0038,0.00698
-2.0,0.0233,0.00685
-1.75,0.0503,0.00671
-1.5,0.0771,0.00655
-1.25,0.1037,0.00637
-1.0,0.1301,0.0062
-0.75,0.1566,0.00606
-0.5,0.1829,0.00595
-0.25,0.2091,0.00585
0.25,0.2609,0.00572
0.5,0.2863,0.00568
0.75,0.3116,0.00568
1.0,0.3368,0.00572
1.25,0.363,0.0058
1.5,0.3924,0.00591
1.75,0.4249,0.00605
2.25,0.497,0.00633
3.0,0.6125,0.00677
3.25,0.6393,0.00689
3.5,0.6635,0.00701
3.75,0.6875,0.00715
4.0,0.7116,0.00729
4.25,0.7357,0.00746
4.5,0.7595,0.00764
4.75,0.7835,0.00784
5.0,0.8072,0.00807
5.25,0.8305,0.00834
5.5,0.854,0.00863
5.75,0.8774,0.00896
6.0,0.9005,0.00934
6.25,0.9234,0.00975
6.5,0.9464,0.01018
6.75,0.9692,0.01062
7.0,0.9919,0.01108
7.25,1.0146,0.01154
7.5,1.037,0.01202
7.75,1.0599,0.01246
8.0,1.0826,0.01291
8.25,1.105,0.01337
8.5,1.1276,0.0138
8.75,1.1502,0.01422
9.0,1.1715,0.01474
9.25,1.1939,0.01514
9.5,1.2141,0.01571
9.75,1.236,0.01611
10.0,1.2555,0.01669
10.25,1.2755,0.0172
10.5,1.2953,0.01768
10.75,1.3121,0.01835
11.0,1.3273,0.01899
11.25,1.3436,0.01951
11.5,1.3587,0.02012
11.75,1.3705,0.02094
12.0,1.3808,0.02187
12.25,1.395,0.02259
12.5,1.4078,0.02342
12.75,1.4196,0.02434
13.0,1.4288,0.02548
13.25,1.4317,0.02713
13.5,1.4383,0.0286
13.75,1.4483,0.02986
14.0,1.4567,0.03131
14.25,1.4642,0.03291
14.5,1.4708,0.03464
14.75,1.4753,0.03666
15.0,1.476,0.03915
15.25,1.4711,0.04234
15.5,1.4638,0.04594
15.75,1.4659,0.0486
16.0,1.4663,0.05156
16.25,1.4646,0.05485
16.5,1.4617,0.05838
16.75,1.4575,0.06218
17.0,1.4521,0.06622
17.25,1.4461,0.07043
17.5,1.4389,0.0749
17.75,1.4308,0.07957
18.0,1.422,0.0844
