x,y
1.0,0.001260008
0.9918674,0.002574984
0.9807362,0.004356517
0.9677597,0.006407308
0.9532982,0.008660552
0.9378554,0.01103018
0.921856,0.01344651
0.9055685,0.01586697
0.8891367,0.01826959
0.872632,0.02064405
0.8560887,0.02298586
0.8395229,0.02529307
0.8229429,0.02756498
0.8063532,0.02980127
0.7897562,0.03200183
0.7731539,0.03416646
0.7565476,0.03629494
0.7399387,0.03838689
0.7233285,0.04044182
0.7067181,0.04245913
0.6901088,0.04443809
0.6735018,0.04637779
0.6568984,0.04827714
0.6402997,0.05013501
0.6237072,0.05194999
0.6071221,0.05372064
0.5905458,0.05544522
0.5739796,0.05712191
0.5574252,0.05874872
0.5408841,0.06032343
0.5243577,0.06184369
0.5078478,0.06330691
0.4913561,0.06471035
0.4748846,0.06605104
0.4584354,0.06732579
0.4420103,0.06853119
0.4256122,0.06966358
0.4092434,0.07071909
0.3929068,0.07169353
0.3766054,0.07258243
0.3603432,0.07338109
0.3441239,0.07408433
0.3279523,0.07468681
0.3118337,0.07518262
0.295775,0.07556555
0.2797844,0.07582892
0.2638732,0.07596561
0.2480581,0.07596812
0.2323644,0.07582872
0.2168345,0.07554007
0.2015406,0.07509653
0.1866027,0.07448596
0.1721144,0.07366773
0.1581084,0.07260261
0.1445931,0.07125996
0.1315722,0.06961722
0.1190538,0.06766014
0.1070552,0.0653836
0.09560718,0.06279363
0.08475485,0.05990994
0.07455695,0.0567684
0.06507999,0.05342232
0.05638731,0.04994018
0.04852431,0.04639874
0.04150581,0.04287279
0.03531097,0.03942496
0.02988794,0.03609972
0.0251646,0.03292224
0.02106079,0.02990163
0.01749755,0.02703539
0.01440345,0.02431425
0.01171646,0.0217249
0.009385265,0.01925301
0.0073682,0.01688409
0.005632459,0.01460449
0.004153212,0.01240212
0.002912492,0.01026673
0.001898305,0.008190548
0.001103313,0.0061681
0.0005245036,0.004199641
0.0001591003,0.002283456
6.080183e-06,0.000440095
6.063382e-05,-0.001363967
0.0003508009,-0.003202944
0.0009143879,-0.005039703
0.001776533,-0.006836467
0.002943926,-0.008556895
0.004408907,-0.01017711
0.006158623,-0.01168808
0.008185104,-0.01309342
0.01049041,-0.01440377
0.01309049,-0.01563345
0.01601566,-0.01679734
0.01931335,-0.01791031
0.02305155,-0.01898708
0.02732395,-0.02004259
0.032258,-0.02109282
0.03802413,-0.0221557
0.04484417,-0.02325237
0.05298794,-0.02440776
0.06273668,-0.02564953
0.07428502,-0.02700271
0.08759873,-0.02847907
0.10235,-0.03006742
0.1180352,-0.03173372
0.1341773,-0.03343106
0.1504373,-0.03510969
0.1666181,-0.03672251
0.1826296,-0.03822687
0.1984617,-0.03958487
0.2141852,-0.04076728
0.2299084,-0.04178017
0.2456826,-0.04263989
0.2615267,-0.04335794
0.2774444,-0.04394345
0.2934338,-0.04440423
0.3094903,-0.04474734
0.3256083,-0.04497922
0.3417828,-0.04510585
0.3580089,-0.0451329
0.374282,-0.04506552
0.390598,-0.04490871
0.4069534,-0.04466702
0.4233448,-0.04434481
0.4397691,-0.04394611
0.4562238,-0.04347474
0.4727061,-0.04293425
0.4892137,-0.04232798
0.5057443,-0.04165905
0.5222964,-0.04093037
0.5388674,-0.04014466
0.555456,-0.03930439
0.5720602,-0.03841195
0.5886787,-0.03746944
0.6053094,-0.03647887
0.6219511,-0.03544201
0.6386024,-0.03436053
0.6552618,-0.03323586
0.6719279,-0.03206937
0.6885996,-0.03086215
0.7052752,-0.02961526
0.7219537,-0.02832955
0.7386339,-0.02700571
0.7553144,-0.02564433
0.7719939,-0.02424582
0.788671,-0.02281052
0.8053442,-0.02133858
0.8220117,-0.01983014
0.8386707,-0.0182852
0.8553172,-0.01670383
0.8719425,-0.01508642
0.8885305,-0.01343414
0.9050465,-0.01175002
0.9214189,-0.01004123
0.937503,-0.00832346
0.9530295,-0.006627522
0.9675713,-0.005004579
0.9806216,-0.003518843
0.9918184,-0.002221524
1.0,-0.001260008
